user_type,location_type,occupant_count,primary_energy_source,renewable_energy_used,renewable_capacity_kw,daily_energy_kwh,monthly_energy_kwh,yearly_energy_kwh,peak_usage_time,daily_bill_inr,monthly_bill_inr,yearly_bill_inr,primary_appliances,high_power_appliance_count,max_energy_appliance,max_appliance_monthly_kwh,seasonal_increase,peak_season,seasonal_appliance,energy_efficient_usage,avg_usage_hours_per_day,smart_meter_installed,optimization_awareness,target_reduction_pct,tariff_reasonability,energy_consistency
Household,Urban,2,Energy Grid,Planning to Use,0,5,150,1800,Evening,₹ 25.00,₹ 750.00,"₹ 9,000.00","Laptop/Computer, Fan, Television",1,Laptop/Computer,90,No,Monsoon,Laptop/Computer,Yes,6,No,Yes,10,₹ 5.00,Valid
Household,Rural,5,Solar,Yes-Solar panel,4,8,240,2880,Morning,₹ 40.00,"₹ 1,200.00","₹ 14,400.00","Fan, Refrigerator, Kitchen Appliances",2,Refrigerator,140,No,Monsoon,Refrigerator,Yes,10,No,No,10,₹ 5.00,Valid
Commercial Buildings,Urban,21,Energy Grid,No,0,19,570,6840,Afternoon,₹ 95.00,"₹ 2,850.00","₹ 34,200.00","Air Conditioner, Lighting, Computers",4,Air Conditioner,320,Yes,Summer,Air Conditioner,No,12,Yes,Yes,25,₹ 5.00,Valid
Household,Semi-Urban,6,Energy Grid,No,0,10,300,3600,Evening,₹ 50.00,"₹ 1,500.00","₹ 18,000.00","Refrigerator, Washing Machine, Fan",2,Refrigerator,150,Yes,Summer,Refrigerator,Partially,11,No,Yes,15,₹ 5.00,Valid
Agriculture,Rural,8,Energy Grid,No,0,14,420,5040,Morning,₹ 70.00,"₹ 2,100.00","₹ 25,200.00","Water Pump, Motor, Lighting",3,Water Pump,260,Yes,Summer,Water Pump,No,13,No,No,20,₹ 5.00,Valid
Household,Urban,4,Energy Grid,Yes-Solar panel,2,7,210,2520,Evening,₹ 35.00,"₹ 1,050.00","₹ 12,600.00","Laptop/Computer, Fan, Refrigerator",1,Laptop/Computer,110,No,Monsoon,Laptop/Computer,Yes,8,No,Yes,10,₹ 5.00,Valid
Household,Rural,3,Solar,Yes-Solar panel,2,6,180,2160,Morning,₹ 30.00,₹ 900.00,"₹ 10,800.00","Fan, Refrigerator, Television",1,Refrigerator,100,No,Monsoon,Refrigerator,Yes,8,No,No,10,₹ 5.00,Valid
Industrial Units,Urban,29,Energy Grid,No,0,21,630,7560,Night,₹ 105.00,"₹ 3,150.00","₹ 37,800.00","Industrial Equipments, Cooling Systems, Lighting",5,Industrial Equipments,310,Yes,Winter,Industrial Equipments,No,17,Yes,Yes,30,₹ 5.00,Valid
Household,Semi-Urban,5,Energy Grid,No,0,9,270,3240,Evening,₹ 45.00,"₹ 1,350.00","₹ 16,200.00","Refrigerator, Washing Machine, Fan",2,Refrigerator,140,Yes,Summer,Refrigerator,Partially,10,No,Yes,15,₹ 5.00,Valid
Agriculture,Rural,6,Energy Grid,No,0,13,390,4680,Morning,₹ 65.00,"₹ 1,950.00","₹ 23,400.00","Water Pump, Motor, Lighting",3,Water Pump,250,Yes,Summer,Water Pump,No,12,No,No,20,₹ 5.00,Valid
Household,Urban,3,Energy Grid,Planning to Use,0,6,180,2160,Evening,₹ 30.00,₹ 900.00,"₹ 10,800.00","Laptop/Computer, Fan, Television",1,Laptop/Computer,100,No,Monsoon,Laptop/Computer,Yes,7,No,Yes,10,₹ 5.00,Valid
Commercial Buildings,Urban,17,Energy Grid,No,0,18,540,6480,Afternoon,₹ 92.00,"₹ 2,760.00","₹ 33,120.00","Air Conditioner, Lighting, Computers",4,Air Conditioner,310,Yes,Summer,Air Conditioner,No,12,Yes,Yes,25,₹ 5.11,Valid
Commercial Buildings,Urban,20,Energy Grid,No,0,18,540,6480,Afternoon,₹ 95.00,"₹ 2,850.00","₹ 34,200.00","Air Conditioner, Computers, Lighting",4,Air Conditioner,300,Yes,Summer,Air Conditioner,No,12,Yes,Yes,30,₹ 5.28,Valid
Commercial Buildings,Urban,18,Energy Grid,No,0,17,510,6120,Afternoon,₹ 90.00,"₹ 2,700.00","₹ 32,400.00","Air Conditioner, Lighting, Computers",4,Air Conditioner,300,Yes,Summer,Air Conditioner,No,12,Yes,Yes,30,₹ 5.29,Valid
Commercial Buildings,Urban,18,Energy Grid,No,0,17,510,6120,Afternoon,₹ 90.00,"₹ 2,700.00","₹ 32,400.00","Air Conditioner, Lighting, Computers",4,Air Conditioner,300,Yes,Summer,Air Conditioner,No,12,Yes,Yes,25,₹ 5.29,Valid
Commercial Buildings,Semi-Urban,16,Energy Grid,No,0,17,510,6120,Afternoon,₹ 90.00,"₹ 2,700.00","₹ 32,400.00","Air Conditioner, Lighting, Wifi",4,Air Conditioner,300,Yes,Summer,Air Conditioner,No,12,Yes,Yes,25,₹ 5.29,Valid
Commercial Buildings,Semi-Urban,16,Energy Grid,No,0,17,510,6120,Afternoon,₹ 90.00,"₹ 2,700.00","₹ 32,400.00","Air Conditioner, Lighting, Wifi",4,Air Conditioner,300,Yes,Summer,Air Conditioner,No,12,Yes,Yes,25,₹ 5.29,Valid
Commercial Buildings,Urban,14,Energy Grid,No,0,16,480,5760,Afternoon,₹ 85.00,"₹ 2,550.00","₹ 30,600.00","Air Conditioner, Lighting, Computers",4,Air Conditioner,290,Yes,Summer,Air Conditioner,No,11,Yes,Yes,25,₹ 5.31,Valid
Commercial Buildings,Semi-Urban,12,Hybrid,Yes-Solar panel,10,16,480,5760,Afternoon,₹ 85.00,"₹ 2,550.00","₹ 30,600.00","Air Conditioner, Lighting, Wifi",4,Air Conditioner,290,Yes,Summer,Air Conditioner,Partially,11,Yes,Yes,20,₹ 5.31,Valid
Commercial Buildings,Semi-Urban,14,Hybrid,Yes-Solar panel,10,16,480,5760,Afternoon,₹ 85.00,"₹ 2,550.00","₹ 30,600.00","Air Conditioner, Lighting, Wifi",4,Air Conditioner,290,Yes,Summer,Air Conditioner,Partially,11,Yes,Yes,20,₹ 5.31,Valid
Commercial Buildings,Urban,12,Energy Grid,No,0,15,450,5400,Afternoon,₹ 80.00,"₹ 2,400.00","₹ 28,800.00","Air Conditioner, Lighting, Computers",4,Air Conditioner,280,Yes,Summer,Air Conditioner,No,10,Yes,Yes,25,₹ 5.33,Valid
Commercial Buildings,Urban,10,Hybrid,Yes-Solar panel,10,18,500,6000,Afternoon,₹ 90.00,"₹ 2,700.00","₹ 32,400.00","Industrial Equipments, Air Conditioner, Lighting",5,Industrial Equipments,300,Yes,Summer,Industrial Equipments,Partially,12,Yes,Yes,20,₹ 5.40,Valid
Commercial Buildings,Urban,15,Energy Grid,No,0,16,480,5760,Afternoon,₹ 90.00,"₹ 2,700.00","₹ 32,400.00","Air Conditioner, Lighting, Computers",4,Air Conditioner,300,Yes,Summer,Air Conditioner,No,12,Yes,Yes,30,₹ 5.63,Valid
Household,Semi-Urban,6,Hybrid,Yes-Solar panel,5,12,360,4320,Evening,₹ 70.00,"₹ 2,100.00","₹ 25,200.00","Air Conditioner, Refrigerator, Washing Machine",3,Air Conditioner,250,Yes,Summer,Air Conditioner,Partially,14,Yes,Yes,20,₹ 5.83,Valid
Industrial Units,Semi-Urban,6,Energy Grid,Yes-Solar panel,5,6,160,1920,Night,₹ 37.00,"₹ 1,110.00","₹ 13,440.00","Air Conditioner, Laptop/Computer, Wifi, Industrial Equipments",4,Industrial Equipments,120,Yes,Summer,Air Conditioner,Yes,7,Yes,Yes,25,₹ 6.94,Valid
Industrial Units,Rural,4,Energy Grid,Yes-Solar panel,10,8,250,3000,Morning,₹ 65.00,"₹ 1,950.00","₹ 19,500.00","Air Conditioner, Fan, Laptop/Computer, Wifi, Industrial Equipments",5,Industrial Equipments,100,Yes,Monsoon,Air Conditioner,No,6,No,No,20,₹ 7.80,Valid
